;BNP Realveakst i forhold til foregaende periode(pct).;Balance1;Balance2;Balance3;Bruttoledig1;Bruttoledig2;Bruttoledig3;AKU1;AKU2;AKU3;Aktieindex1;Aktieindex2;Aktieindex3;konjunkturindikator1;konjunkturindikator2;konjunkturindikator3;Forbrugertillidsindikatoren1;Forbrugertillidsindikatoren2;Forbrugertillidsindikatoren3;huspriser1;huspriser2;huspriser3;inflation1;inflation2;inflation3;produktion1;produktion2;produktion3;Govermentbond1;Govermentbond2;Govermentbond3;Rente1;Rente2;Rente3;Import1;Import2;Import3;Eksport1;Eksport2;Eksport3;Detail1;Detail2;Detail3;offentligforbrug;privatforbrug;TOT Erhverv i alt;2 Industri, rastofindvinding og forsyningsvirksomhed;3 Bygge og anleg;4 Handel og transport mv.;5 Information og kommunikation;6 Finansiering og forsikring;7 Ejendomshandel og udlejning;8 Erhvervsservice;O3 Undervisning og sundhed mv.;10 Kultur, fritid og anden service
K1-2008;0;5,9;4,6;2,3;2,9;2,7;2,6;2798;2800;2807;392;411;406;-2;-10;-12;-1,1;-2,5;-1,3;-0,5;-0,5;1,4;0,3;1;0,6;-0,2694;-0,33552;-0,23665;4,1486;4,0819;4,0372;4,7199;4,6148;4,8007;47048,3;45657,4;47002,4;51735,3;50302,9;49163,5;107,5;108,3;106;0,99712;0,90582;4,4;4,4;5,2;4,2;4,4;4,3;3,7;4,5;5,7;3,1
K2-2008;-0,9;4,7;5,2;4,8;2,5;2,4;2,4;2819;2817;2797;408;428;395;-11;-10;-14;-3,1;-3,5;-6,6;-0,2;0,6;-0,1;0,3;0,4;0,3;-0,75741;-0,56342;-0,23456;4,285;4,4154;4,8242;4,9955;5,1507;5,3286;48512;45782,9;48201,8;51588,5;50153;50480,2;108,7;108,1;106,4;2,04972;0,94022;4,6;4,5;4,7;4,8;4,6;4,3;4,4;4,6;5,6;3,6
K3-2008;-0,6;2,1;4;7,6;2,5;2,5;2,6;2796;2806;2824;385;388;324;-11;-19;-22;-9,7;-12,2;-11,1;-1,5;-1,3;-1,5;-0,3;0,2;0,4;-0,52925;-1,52971;-4,33681;4,7771;4,4855;4,3728;5,3789;5,3833;5,4176;46341,3;45824,1;47330,1;49847,2;48934,2;50900,2;105,5;105,2;105,2;2,47446;-0,24221;4,5;4,3;4,5;4,6;4,2;5,5;5,2;4,4;4,5;3,8
K4-2008;-2,4;2,8;6,3;1,2;2,7;2,9;3,1;2830;2817;2807;265;242;228;-21;-28;-33;-16,6;-11,5;-13,5;-3,8;-2,8;-3,6;-0,2;-0,2;-0,4;0,95116;-1,25685;-2,92357;4,3929;4,0567;3,4998;5,9903;6,0757;5,3699;46273,3;42737,5;41736,2;48248;43245,9;43879,6;104;103,1;101,7;1,70311;-3,28857;4,2;3,7;4;4,2;4,2;5,6;2,4;4,2;4,8;3,2
K1-2009;-1,4;2,9;6,1;6,9;3,4;3,7;4,1;2792;2776;2744;236;217;207;-41;-42;-41;-9,1;-11,3;-11,7;-1,8;-1;0,5;-0,4;1;0,4;-2,37507;-0,6449;-1,58562;3,442;3,5502;3,44;4,4204;3,8595;3,2773;41324,6;37100,4;34460,4;41321,7;40755;40013,1;102,6;102,3;101,9;1,39611;-1,27647;4,2;3,8;3,8;4,4;4,1;5;1,6;4,2;4,3;4
K2-2009;-1,9;5,7;6;5,2;4,5;4,7;5;2738;2733;2742;245;262;259;-42;-31;-26;-4,4;-4,7;-5,5;0;-0,2;1,6;-0,1;0,3;0,2;-0,79806;-1,00798;-0,39043;3,4995;3,6156;3,7557;2,9361;2,6695;2,3308;35974,4;33893,5;35340,6;40161,5;39732,6;41636,9;101,8;101,5;102,1;1,29508;1,42277;3;2,7;2,5;2,9;3,5;5;1,9;3,2;2,7;3,7
K3-2009;0,3;5,2;5,2;1;5;5,2;5,4;2719;2711;2688;276;296;298;-18;-18;-17;-3,2;-2,6;-1,1;-0,6;0,8;0;-0,5;0,3;0,1;1,10033;1,12084;0,75669;3,7362;3,6024;3,6461;2,0642;1,938;1,7625;34044,9;35761,7;34532,5;41014,3;41104;41159,3;103;101,2;100,9;1,20519;0,93093;2,8;2,7;1,7;3,1;3,2;4,8;1,5;3;2,4;3
K4-2009;0,1;1,7;9,2;6,4;5,6;5,7;5,7;2678;2669;2668;289;293;301;-16;-12;-10;-0,9;-2,4;-3,6;-0,5;-0,3;0,1;0,1;0;-0,3;0,32009;0,39765;0,30519;3,5956;3,6221;3,5295;1,5828;1,5587;1,5521;36887,9;35451,4;33744,2;39668,6;44495,6;41906,3;101,9;100,3;101,3;1,07172;-0,28266;2,3;2,5;0,8;2,3;2,9;4,4;2,6;2,3;1,4;3
K1-2010;0,9;8,1;8,7;11,7;5,9;6;6,1;2658;2661;2660;320;319;340;-6;-5;-1;1,1;1,8;-1;-0,3;0,6;1,1;0,3;1;0,6;1,15988;0,35979;0,65798;3,5684;3,4963;3,3997;1,4587;1,3927;1,3717;35870,3;36321,3;35965,8;41033,2;42055;45136,7;100,5;100,7;101,5;1,0494;2,16175;2,6;2,8;1,4;2,4;3,4;4,5;3,5;1,9;1,7;3,8
K2-2010;0,7;10,9;6,9;9,1;6;6;6,1;2659;2669;2662;360;342;344;-4;-3;-4;4,2;3;-1,5;0,9;1,3;-0,3;0,2;0;-0,2;0,37182;1,45906;0,14846;3,3428;2,9282;2,7013;1,2835;1,252;1,152;37140,2;42046,8;39493;44217,3;45546,9;44137;101,5;101,6;101,6;0,51565;-0,44742;2,2;2,5;1,2;1,8;3,4;4,2;2,6;2;1,3;3
K3-2010;1,6;9,9;9,9;11,2;6,1;6,2;6,1;2671;2662;2667;356;343;361;-3;-5;-2;4,1;4,4;2,3;0,9;-1,5;0,8;0;0,4;0,4;0,43827;0,307;0,23007;2,7158;2,4457;2,3953;1,1341;1,1451;1,146;39547;38076,7;39495,3;47088,6;44345;46821,4;101,9;101,4;101,5;-0,12473;1,33697;2,3;2,5;1,7;1,6;3,2;4,1;2,9;2,4;1,4;3,4
K4-2010;-0,2;10,4;12,7;9,3;6,1;6;6,1;2658;2663;2666;369;370;395;-7;-13;-11;0,6;3,6;-0,7;1;-1,7;-0,9;-0,2;0,1;0,1;-0,26509;0,02881;0,9687;2,4556;2,6516;3,012;1,1913;1,2388;1,2117;39224,7;40098,4;39810,6;45588,6;46752,8;45640,9;101,7;101,2;101,4;-0,44121;0,61078;2,2;2,4;2;1,3;3;3,9;2,6;2,4;1,6;3,4
K1-2011;0,2;15;11,6;11,5;6,1;6;6;2659;2659;2658;399;405;395;-4;-5;-6;3,3;-0,5;-0,8;-1,7;1,5;0,7;0,1;0,9;0,6;-0,12857;-0,43883;0,99345;3,0519;3,23;3,289;1,2161;1,2398;1,3074;41090,9;41172,7;41501,3;51633,6;49202,5;50899,4;101,6;101,5;101,3;-0,4494;0,37105;1,9;2,4;0,9;1,5;2,2;4;3,3;1,7;1,3;1,4
